Date,Instagram reach
2022-04-01T00:00:00,7620
2022-04-02T00:00:00,12859
2022-04-03T00:00:00,16008
2022-04-04T00:00:00,24349
2022-04-05T00:00:00,20532
2022-04-06T00:00:00,19408
2022-04-07T00:00:00,14941
2022-04-08T00:00:00,17263
2022-04-09T00:00:00,20224
2022-04-10T00:00:00,30471
2022-04-11T00:00:00,39774
2022-04-12T00:00:00,43550
2022-04-13T00:00:00,42342
2022-04-14T00:00:00,55477
2022-04-15T00:00:00,54391
2022-04-16T00:00:00,44108
2022-04-17T00:00:00,49089
2022-04-18T00:00:00,42790
2022-04-19T00:00:00,49940
2022-04-20T00:00:00,45763
2022-04-21T00:00:00,38457
2022-04-22T00:00:00,45197
2022-04-23T00:00:00,42367
2022-04-24T00:00:00,36076
2022-04-25T00:00:00,34467
2022-04-26T00:00:00,36772
2022-04-27T00:00:00,35349
2022-04-28T00:00:00,27926
2022-04-29T00:00:00,26184
2022-04-30T00:00:00,26410
2022-05-01T00:00:00,32637
2022-05-02T00:00:00,42204
2022-05-03T00:00:00,47632
2022-05-04T00:00:00,35793
2022-05-05T00:00:00,35945
2022-05-06T00:00:00,35574
2022-05-07T00:00:00,26940
2022-05-08T00:00:00,27495
2022-05-09T00:00:00,19660
2022-05-10T00:00:00,24138
2022-05-11T00:00:00,23391
2022-05-12T00:00:00,16748
2022-05-13T00:00:00,17489
2022-05-14T00:00:00,18171
2022-05-15T00:00:00,29682
2022-05-16T00:00:00,33085
2022-05-17T00:00:00,50797
2022-05-18T00:00:00,54392
2022-05-19T00:00:00,35649
2022-05-20T00:00:00,33654
2022-05-21T00:00:00,46443
2022-05-22T00:00:00,50465
2022-05-23T00:00:00,51263
2022-05-24T00:00:00,55647
2022-05-25T00:00:00,68448
2022-05-26T00:00:00,73815
2022-05-27T00:00:00,74077
2022-05-28T00:00:00,67922
2022-05-29T00:00:00,80600
2022-05-30T00:00:00,73835
2022-05-31T00:00:00,83221
2022-06-01T00:00:00,77190
2022-06-02T00:00:00,83630
2022-06-03T00:00:00,65133
2022-06-04T00:00:00,72761
2022-06-05T00:00:00,67778
2022-06-06T00:00:00,54560
2022-06-07T00:00:00,32643
2022-06-08T00:00:00,24889
2022-06-09T00:00:00,27046
2022-06-10T00:00:00,55433
2022-06-11T00:00:00,64168
2022-06-12T00:00:00,69366
2022-06-13T00:00:00,59358
2022-06-14T00:00:00,46011
2022-06-15T00:00:00,38286
2022-06-16T00:00:00,89665
2022-06-17T00:00:00,133807
2022-06-18T00:00:00,103309
2022-06-19T00:00:00,112461
2022-06-20T00:00:00,114870
2022-06-21T00:00:00,115782
2022-06-22T00:00:00,110319
2022-06-23T00:00:00,51336
2022-06-24T00:00:00,54666
2022-06-25T00:00:00,62637
2022-06-26T00:00:00,66525
2022-06-27T00:00:00,61001
2022-06-28T00:00:00,73659
2022-06-29T00:00:00,59505
2022-06-30T00:00:00,60504
2022-07-01T00:00:00,69593
2022-07-02T00:00:00,76763
2022-07-03T00:00:00,63917
2022-07-04T00:00:00,60591
2022-07-05T00:00:00,66350
2022-07-06T00:00:00,62711
2022-07-07T00:00:00,70608
2022-07-08T00:00:00,61222
2022-07-09T00:00:00,51758
2022-07-10T00:00:00,62099
2022-07-11T00:00:00,69686
2022-07-12T00:00:00,78896
2022-07-13T00:00:00,68331
2022-07-14T00:00:00,59660
2022-07-15T00:00:00,58746
2022-07-16T00:00:00,59599
2022-07-17T00:00:00,110544
2022-07-18T00:00:00,117070
2022-07-19T00:00:00,122530
2022-07-20T00:00:00,81669
2022-07-21T00:00:00,74793
2022-07-22T00:00:00,82299
2022-07-23T00:00:00,81336
2022-07-24T00:00:00,70291
2022-07-25T00:00:00,77767
2022-07-26T00:00:00,62322
2022-07-27T00:00:00,62659
2022-07-28T00:00:00,69659
2022-07-29T00:00:00,57778
2022-07-30T00:00:00,55289
2022-07-31T00:00:00,63183
2022-08-01T00:00:00,68727
2022-08-02T00:00:00,74334
2022-08-03T00:00:00,72809
2022-08-04T00:00:00,53647
2022-08-05T00:00:00,89747
2022-08-06T00:00:00,91473
2022-08-07T00:00:00,88629
2022-08-08T00:00:00,103756
2022-08-09T00:00:00,134856
2022-08-10T00:00:00,123226
2022-08-11T00:00:00,134762
2022-08-12T00:00:00,118660
2022-08-13T00:00:00,29813
2022-08-14T00:00:00,22671
2022-08-15T00:00:00,18341
2022-08-16T00:00:00,14616
2022-08-17T00:00:00,11427
2022-08-18T00:00:00,16703
2022-08-19T00:00:00,10989
2022-08-20T00:00:00,17251
2022-08-21T00:00:00,20968
2022-08-22T00:00:00,13249
2022-08-23T00:00:00,14045
2022-08-24T00:00:00,13598
2022-08-25T00:00:00,17944
2022-08-26T00:00:00,86559
2022-08-27T00:00:00,114821
2022-08-28T00:00:00,89385
2022-08-29T00:00:00,87489
2022-08-30T00:00:00,106211
2022-08-31T00:00:00,92920
2022-09-01T00:00:00,84745
2022-09-02T00:00:00,86010
2022-09-03T00:00:00,105478
2022-09-04T00:00:00,129544
2022-09-05T00:00:00,120165
2022-09-06T00:00:00,100047
2022-09-07T00:00:00,92885
2022-09-08T00:00:00,120963
2022-09-09T00:00:00,107493
2022-09-10T00:00:00,97374
2022-09-11T00:00:00,116321
2022-09-12T00:00:00,105488
2022-09-13T00:00:00,87666
2022-09-14T00:00:00,87047
2022-09-15T00:00:00,78212
2022-09-16T00:00:00,77807
2022-09-17T00:00:00,82448
2022-09-18T00:00:00,133156
2022-09-19T00:00:00,161998
2022-09-20T00:00:00,142298
2022-09-21T00:00:00,108106
2022-09-22T00:00:00,68922
2022-09-23T00:00:00,54147
2022-09-24T00:00:00,72691
2022-09-25T00:00:00,72354
2022-09-26T00:00:00,58779
2022-09-27T00:00:00,73231
2022-09-28T00:00:00,53697
2022-09-29T00:00:00,100440
2022-09-30T00:00:00,61940
2022-10-01T00:00:00,100277
2022-10-02T00:00:00,80560
2022-10-03T00:00:00,83699
2022-10-04T00:00:00,99136
2022-10-05T00:00:00,118015
2022-10-06T00:00:00,94388
2022-10-07T00:00:00,71084
2022-10-08T00:00:00,63193
2022-10-09T00:00:00,64780
2022-10-10T00:00:00,48227
2022-10-11T00:00:00,52129
2022-10-12T00:00:00,26257
2022-10-13T00:00:00,19469
2022-10-14T00:00:00,22669
2022-10-15T00:00:00,27502
2022-10-16T00:00:00,61623
2022-10-17T00:00:00,75694
2022-10-18T00:00:00,33518
2022-10-19T00:00:00,55984
2022-10-20T00:00:00,63264
2022-10-21T00:00:00,19509
2022-10-22T00:00:00,20633
2022-10-23T00:00:00,24122
2022-10-24T00:00:00,16745
2022-10-25T00:00:00,23674
2022-10-26T00:00:00,38667
2022-10-27T00:00:00,48504
2022-10-28T00:00:00,34889
2022-10-29T00:00:00,40588
2022-10-30T00:00:00,74032
2022-10-31T00:00:00,66457
2022-11-01T00:00:00,61773
2022-11-02T00:00:00,45842
2022-11-03T00:00:00,32075
2022-11-04T00:00:00,32016
2022-11-05T00:00:00,39436
2022-11-06T00:00:00,84987
2022-11-07T00:00:00,50200
2022-11-08T00:00:00,62769
2022-11-09T00:00:00,63688
2022-11-10T00:00:00,63829
2022-11-11T00:00:00,44754
2022-11-12T00:00:00,37796
2022-11-13T00:00:00,43987
2022-11-14T00:00:00,45479
2022-11-15T00:00:00,40908
2022-11-16T00:00:00,49767
2022-11-17T00:00:00,56708
2022-11-18T00:00:00,91287
2022-11-19T00:00:00,54146
2022-11-20T00:00:00,58121
2022-11-21T00:00:00,61232
2022-11-22T00:00:00,63271
2022-11-23T00:00:00,70836
2022-11-24T00:00:00,64517
2022-11-25T00:00:00,64358
2022-11-26T00:00:00,58697
2022-11-27T00:00:00,50766
2022-11-28T00:00:00,54373
2022-11-29T00:00:00,50188
2022-11-30T00:00:00,36290
2022-12-01T00:00:00,36760
2022-12-02T00:00:00,34121
2022-12-03T00:00:00,35159
2022-12-04T00:00:00,37259
2022-12-05T00:00:00,36993
2022-12-06T00:00:00,51028
2022-12-07T00:00:00,42299
2022-12-08T00:00:00,39843
2022-12-09T00:00:00,43256
2022-12-10T00:00:00,49872
2022-12-11T00:00:00,46505
2022-12-12T00:00:00,39585
2022-12-13T00:00:00,30135
2022-12-14T00:00:00,34592
2022-12-15T00:00:00,34681
2022-12-16T00:00:00,33083
2022-12-17T00:00:00,31342
2022-12-18T00:00:00,26562
2022-12-19T00:00:00,22119
2022-12-20T00:00:00,23183
2022-12-21T00:00:00,20108
2022-12-22T00:00:00,18793
2022-12-23T00:00:00,16431
2022-12-24T00:00:00,17075
2022-12-25T00:00:00,16881
2022-12-26T00:00:00,20798
2022-12-27T00:00:00,25612
2022-12-28T00:00:00,25070
2022-12-29T00:00:00,22686
2022-12-30T00:00:00,19555
2022-12-31T00:00:00,23887
2023-01-01T00:00:00,25451
2023-01-02T00:00:00,21871
2023-01-03T00:00:00,28045
2023-01-04T00:00:00,31426
2023-01-05T00:00:00,35156
2023-01-06T00:00:00,30881
2023-01-07T00:00:00,29980
2023-01-08T00:00:00,29092
2023-01-09T00:00:00,33687
2023-01-10T00:00:00,38209
2023-01-11T00:00:00,34486
2023-01-12T00:00:00,36539
2023-01-13T00:00:00,31826
2023-01-14T00:00:00,29354
2023-01-15T00:00:00,30277
2023-01-16T00:00:00,24114
2023-01-17T00:00:00,22497
2023-01-18T00:00:00,36816
2023-01-19T00:00:00,18850
2023-01-20T00:00:00,15411
2023-01-21T00:00:00,23006
2023-01-22T00:00:00,22257
2023-01-23T00:00:00,19413
2023-01-24T00:00:00,20392
2023-01-25T00:00:00,19793
2023-01-26T00:00:00,23358
2023-01-27T00:00:00,29541
2023-01-28T00:00:00,26580
2023-01-29T00:00:00,24459
2023-01-30T00:00:00,26401
2023-01-31T00:00:00,28053
2023-02-01T00:00:00,25138
2023-02-02T00:00:00,19939
2023-02-03T00:00:00,48309
2023-02-04T00:00:00,57526
2023-02-05T00:00:00,61022
2023-02-06T00:00:00,61822
2023-02-07T00:00:00,26224
2023-02-08T00:00:00,24975
2023-02-09T00:00:00,28476
2023-02-10T00:00:00,24834
2023-02-11T00:00:00,27249
2023-02-12T00:00:00,28076
2023-02-13T00:00:00,26542
2023-02-14T00:00:00,24477
2023-02-15T00:00:00,25137
2023-02-16T00:00:00,23645
2023-02-17T00:00:00,20195
2023-02-18T00:00:00,24079
2023-02-19T00:00:00,25884
2023-02-20T00:00:00,18755
2023-02-21T00:00:00,22528
2023-02-22T00:00:00,18026
2023-02-23T00:00:00,20873
2023-02-24T00:00:00,16639
2023-02-25T00:00:00,14482
2023-02-26T00:00:00,17726
2023-02-27T00:00:00,32823
2023-02-28T00:00:00,87649
2023-03-01T00:00:00,91367
2023-03-02T00:00:00,50625
2023-03-03T00:00:00,12823
2023-03-04T00:00:00,15866
2023-03-05T00:00:00,19175
2023-03-06T00:00:00,17065
2023-03-07T00:00:00,56023
2023-03-08T00:00:00,70632
2023-03-09T00:00:00,20629
2023-03-10T00:00:00,17595
2023-03-11T00:00:00,31142
2023-03-12T00:00:00,35195
2023-03-13T00:00:00,43031
2023-03-14T00:00:00,38135
2023-03-15T00:00:00,22214
2023-03-16T00:00:00,23075
2023-03-17T00:00:00,17173
2023-03-18T00:00:00,18978
2023-03-19T00:00:00,45343
2023-03-20T00:00:00,59259
2023-03-21T00:00:00,23662
2023-03-22T00:00:00,18075
2023-03-23T00:00:00,16319
2023-03-24T00:00:00,15612
2023-03-25T00:00:00,21229
2023-03-26T00:00:00,16080
2023-03-27T00:00:00,15622
2023-03-28T00:00:00,18645
2023-03-29T00:00:00,41238
2023-03-30T00:00:00,50490
2023-03-31T00:00:00,22014